<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;M;20060101;000000;1128.2000000;1376.4300000;1128.2000000;1315.9600000;1095189853
RTSI;M;20060201;000000;1316.0100000;1531.2700000;1307.8800000;1453.4400000;886048768
RTSI;M;20060301;000000;1453.7000000;1497.5200000;1341.5900000;1434.9900000;1564487931
RTSI;M;20060401;000000;1434.7300000;1690.3100000;1434.7300000;1657.2800000;2041323718
RTSI;M;20060501;000000;1659.0100000;1795.0000000;1311.3200000;1461.2200000;1760556156
RTSI;M;20060601;000000;1460.7000000;1558.8600000;1219.1100000;1494.6300000;982210713
RTSI;M;20060701;000000;1494.7400000;1570.9900000;1435.4400000;1551.0900000;638554874
RTSI;M;20060801;000000;1551.0900000;1670.3000000;1544.5200000;1626.6900000;941962387
RTSI;M;20060901;000000;1627.5700000;1655.2700000;1451.9600000;1549.9900000;758595794
RTSI;M;20061001;000000;1550.1000000;1648.2300000;1503.7300000;1613.5700000;907188291
RTSI;M;20061101;000000;1613.9700000;1782.5000000;1613.9700000;1776.6800000;1175614300
RTSI;M;20061201;000000;1776.6800000;1927.7400000;1764.3200000;1921.9200000;1094415450
RTSI;M;20070101;000000;1857.9400000;1886.7600000;1749.2200000;1842.9300000;929187386
RTSI;M;20070201;000000;1843.8900000;1971.3500000;1827.0500000;1858.1400000;993459725
RTSI;M;20070301;000000;1857.8200000;1953.5600000;1701.8000000;1935.7200000;1050794450
RTSI;M;20070401;000000;1935.0100000;2008.7100000;1913.7300000;1935.5100000;997667461
RTSI;M;20070501;000000;1932.0500000;1936.4700000;1707.8100000;1780.3300000;868897027
RTSI;M;20070601;000000;1780.3900000;1916.7600000;1771.1500000;1897.7000000;941064158
RTSI;M;20070701;000000;1898.1300000;2092.3800000;1894.2200000;1993.9600000;1308476919
RTSI;M;20070801;000000;1983.8700000;2002.6400000;1798.4300000;1919.8900000;1297759553
RTSI;M;20070901;000000;1918.4900000;2075.2500000;1894.8100000;2071.8000000;1086190169
RTSI;M;20071001;000000;2071.8000000;2232.5800000;2039.6400000;2223.0600000;1458026941
RTSI;M;20071101;000000;2225.2500000;2301.6700000;2128.1700000;2220.1100000;1292085889
RTSI;M;20071201;000000;2218.4400000;2360.1500000;2199.8200000;2290.5100000;1163911932
RTSI;M;20080101;000000;2300.7900000;2345.4500000;1883.2800000;1906.9700000;1164112686
RTSI;M;20080201;000000;1910.6700000;2116.3100000;1859.5300000;2063.9400000;1138245934
RTSI;M;20080301;000000;2017.4700000;2096.5500000;1942.4400000;2053.9300000;1016087868
RTSI;M;20080401;000000;2053.9700000;2190.4900000;2035.8500000;2122.5000000;900264999
RTSI;M;20080501;000000;2122.5000000;2498.1000000;2122.5000000;2459.8800000;970310393
RTSI;M;20080601;000000;2459.9000000;2464.5900000;2280.3300000;2303.3400000;842510540
RTSI;M;20080701;000000;2303.1100000;2306.7900000;1881.0600000;1966.6800000;952384966
RTSI;M;20080801;000000;1965.5300000;1966.1600000;1547.1000000;1646.1400000;794686193
RTSI;M;20080901;000000;1643.0400000;1675.0600000;1058.8400000;1211.8400000;504643456
RTSI;M;20081001;000000;1211.9000000;1227.2500000;549.0600000;773.3700000;211125671
RTSI;M;20081101;000000;777.5600000;884.5400000;552.0900000;658.1400000;256622191
RTSI;M;20081201;000000;658.3700000;703.3700000;586.5900000;631.8900000;158661224
RTSI;M;20090101;000000;631.9900000;641.8700000;492.5900000;535.0400000;172148788
RTSI;M;20090201;000000;535.0400000;629.9400000;505.6400000;544.5800000;123857504
RTSI;M;20090301;000000;544.5800000;760.1500000;533.5200000;689.6300000;123868000
RTSI;M;20090401;000000;689.6300000;846.5500000;674.8100000;832.8700000;116494146
RTSI;M;20090501;000000;833.2200000;1090.2700000;833.2200000;1087.5900000;156966835
RTSI;M;20090601;000000;1088.5100000;1202.6400000;896.4800000;987.0200000;256743112
RTSI;M;20090701;000000;967.4400000;1043.3400000;818.8700000;1017.4700000;149668791
RTSI;M;20090801;000000;1017.8000000;1104.9400000;987.4100000;1066.5300000;175471776
RTSI;M;20090901;000000;1067.4700000;1269.9000000;1052.9800000;1254.5200000;236796515
RTSI;M;20091001;000000;1254.5200000;1481.1100000;1210.9500000;1348.5400000;350807890
RTSI;M;20091101;000000;1358.7600000;1508.4200000;1293.4900000;1374.9300000;8587863468
RTSI;M;20091201;000000;1372.1700000;1457.6000000;1327.4400000;1444.6100000;7874923379
RTSI;M;20100101;000000;1444.7000000;1590.0200000;1424.8800000;1473.8100000;6957449235
RTSI;M;20100201;000000;1473.8100000;1530.0000000;1355.9500000;1410.8500000;7285494559
RTSI;M;20100301;000000;1408.5700000;1584.7200000;1402.9000000;1572.4800000;8374769935
RTSI;M;20100401;000000;1572.4800000;1685.6000000;1555.2400000;1572.8400000;8621628950
RTSI;M;20100501;000000;1572.8400000;1581.3200000;1224.7300000;1384.5900000;11085879886
RTSI;M;20100601;000000;1384.4700000;1458.9000000;1308.7500000;1339.3500000;10426257038
RTSI;M;20100701;000000;1339.4800000;1510.3700000;1285.4800000;1479.7300000;11587319365
RTSI;M;20100801;000000;1479.6500000;1534.7200000;1380.0900000;1421.2100000;9866146205
RTSI;M;20100901;000000;1421.9700000;1513.4800000;1415.3300000;1507.6600000;11426288764
RTSI;M;20101001;000000;1507.2800000;1634.6600000;1502.2000000;1587.1400000;12318436275
RTSI;M;20101101;000000;1586.6400000;1663.8700000;1551.6700000;1597.3500000;10934053586
RTSI;M;20101201;000000;1597.3000000;1776.1700000;1594.2400000;1770.2800000;10290515383
RTSI;M;20110101;000000;1770.2700000;1922.1500000;1767.8000000;1870.3100000;7771659449
RTSI;M;20110201;000000;1870.3100000;1972.5000000;1845.4900000;1969.9100000;10009158557
RTSI;M;20110301;000000;1971.4600000;2047.8000000;1890.0600000;2044.2000000;9751525763
RTSI;M;20110401;000000;2044.2000000;2134.2300000;1940.6700000;2026.9400000;9204253496
RTSI;M;20110501;000000;2026.9400000;2036.1900000;1760.3600000;1888.6000000;9701775070
